chr1	54701115	54702115	+	NR_103541	SSBP3-AS1	6.23073	3.49323	5e-05	0.000150478	yes	1679
chr8	82754521	82755521	-	NM_022133	SNX16	1.45699	0.63214	1	1	no	8738
chr8	82754521	82755521	-	NM_152837	SNX16	1.45699	0.63214	1	1	no	12697
chr8	82754521	82755521	-	NM_152836	SNX16	1.45699	0.63214	1	1	no	12698
chr8	86726072	86727072	+	NR_003594	REXO1L2P	0	0	1	1	no	13022
chr8	86747526	86748526	+	NR_003594	REXO1L2P	0	0	1	1	no	13023
chr2	39347604	39348604	-	NM_005633	SOS1	6.90653	9.80199	0.05515	0.0877066	no	18511
chr17	41466266	41467266	-	NR_027413	LINC00910	19.4242	12.3509	5e-05	0.000150478	yes	22007
chr17	41466266	41467266	-	NR_027412	LINC00910	19.4242	12.3509	5e-05	0.000150478	yes	22013
chr20	29610878	29611878	+	NR_003579	FRG1B	4.52172	1.9783	0.0416	0.068012	no	24182
chr21	9825202	9826202	+	NR_037458	MIR3687	1.3308e+07	868520	5e-05	0.000150478	yes	34533
chr17	21903061	21904061	+	NR_027084	FLJ36000	0.0506403	0.0244889	1	1	no	35105
chr21	9824831	9825831	+	NR_037421	MIR3648	1.3308e+07	868520	5e-05	0.000150478	yes	37085
chr8	145625559	145626559	-	NR_031600	MIR1234	0	0	1	1	no	38935
chr11	119211593	119212593	-	NM_001278431	C1QTNF5	0.363513	0.684446	1	1	no	41649
chr19	57077889	57078889	+	NM_001001668	ZNF470	1.67913	0.847861	1	1	no	43126
