chr6	90341942	90348474
chr10	93808396	94050875
chr10	85991275	86001217
chr6	138743180	138893668
chr2	69546900	69614386
chr20	45186461	45280100
chr11	59404191	59436511
chr11	57319127	57335803
chr16	66585465	66601190
chr16	66585465	66601190
chr14	51025742	51100784
chr19	36911075	36914799
chr5	180749506	180756196
chrUn_gl000228	75141	78521
chr17	41717757	41738931
chr6	99321600	99395882
chr19	46112657	46142675
chr5	55032844	55113605
chr1	154539256	154553353
chr11	64125624	64140687
chr21	40751212	40770815
chr10	22604311	22610246
chr19	29698166	29704136
chr2	74688183	74692537
chr10	5487513	5502019
chr19	51107219	51109342
chr19	10217326	10219411
chr17	62222437	62224517
chr22	46730297	46754237
chr16	29972350	29985373
chr8	143852614	143858437
chr11	65421066	65430443
chr11	57424215	57430337
chr5	72142929	72211215
chr1	76539388	77043892
chr3	190230839	190370308
chr5	58264865	59783925
chr17	56282796	56296966
chr15	59278864	59390618
chr15	99511458	99551024
chr6	24650204	24667115
chr8	23385362	23431063
chr5	137687284	137773716
chr8	145132521	145136551
chr13	114597075	114625290
chr2	128698790	128784869
chr2	242434121	242447775
chr1	94994731	95007413
chr5	76010867	76032595
chr18	56886399	56899002
chr15	75286875	75314836
chr12	111798454	111806925
chr4	155456148	155471585
chr2	121102718	121110383
chr5	52284155	52391609
chr15	101844132	102030187
chr7	588833	752161
chr6	49398072	49431041
chr11	7109164	7113379
chr16	9856531	10275924
chr16	9847264	10276263
chr16	86563781	86588809
chr1	230201955	230418875
chr7	156797546	156803347
chr6	42895859	42908008
chr20	30062090	30073708
chr20	1245959	1290971
chr13	99852162	100039753
chr2	149893980	150072772
chr8	96257140	96281462
chr14	60711469	60766805
chr14	60714965	60756272
chr4	128981420	129044508
chr3	179279707	179307193
chr7	37959162	37992542
chr5	110408011	110414722
chr11	71790376	71808938
chr17	48637428	48705832
chr19	36601104	36605613
chr2	55199326	55277734
chr17	4735634	4802356
chr14	73392039	73427357
chr6	24356130	24359512
chr12	57637237	57644976
chr22	18120349	18214621
chr7	100080549	100093424
chr10	179423	296729
chr3	190984943	191048325
chr1	167399876	167487847
chr2	113125964	113191107
chr16	85812230	85833148
chr3	157260132	157297680
chr3	53528075	53847492
chr1	45316193	45452394
chr10	79792517	79801473
chr1	114935398	115053781
chr12	113736570	113772925
chr12	15260715	15374411
chr7	150773707	150777970
chr4	186506597	186877870
chr6_ssto_hap7	4220532	4237318
chr16	66541905	66583728
chr10	32556643	32635976
chr20	16252748	16554079
chr16	20816766	20861990
chrX	149530544	149683448
chr2	209129990	209171271
chr6	13573760	13616390
chr11	77726760	77791265
chr20	42935196	42939889
chr17	7146905	7154995
chr6_qbl_hap6	2173966	2188231
chrX	135228558	135294518
chrX	135228558	135294518
chr3	18389132	18466829
chr6	16299342	16761721
chr22	32329506	32341336
chr6_mcf_hap5	3086408	3111152
chr1	43198763	43205925
chr17	7093209	7120928
chr20	44518590	44528458
chr12	53844885	53875946
chr11	117707690	117747746
chr1	62659473	62679001
chr7	138144078	138271332
chr4	186506597	186578123
chr12	133756994	133784697
chr6	43736945	43755223
chr17	3827162	3867758
chr6_cox_hap2	2393182	2407162
chr7	150778171	150780620
chr18	32557207	32724432
chr18	32555891	32724432
chr11	77726760	77791265
chr21	19288656	19640687
chr21	19288656	19640687
chr19	50162825	50169132
chr19	50162825	50169132
chr11	43332504	43367080
chr19	5785152	5791249
chrX	46357159	46404892
chr7	588833	752577
chr7	588833	752844
chr7	588833	767313
chr7	588833	766978
chr7	588833	767313
chr16	88762902	88772800
chr2	47129008	47168994
chr22	17442826	17489112
chr19	44575296	44592623
chr9	101866411	101917473
chr21	18965967	18985268
chr13	53225830	53263433
chr17	49039534	49198226
chr10	78644634	79397577
chr5	72415387	72428644
chr1	149754244	149783928
chr12	109185694	109251359
chrX	102930425	102943086
chr16	30016834	30023669
chr8	145742348	145751559
chr2	220415449	220436268
chr1	12078298	12093106
chr12	44902057	45270247
chr10	22633373	22707539
chr22	40765594	40807293
chr6	36163549	36201567
chr1	185265521	185286461
chr15	74832547	74891472
chr20	61826781	61847538
chr19	17857526	17900377
chr22	19318223	19419219
chr10	13627938	13673868
chr17	37820598	37823807
chr2	208575263	208621896
chr14	24734743	24740833
chr9	77337410	77502636
chr12	56520985	56539460
chrX	2404454	2418580
chrY	2354454	2368580
chrX	153734489	153744566
chrX	153734489	153744566
chr9	93563206	93661842
chr3	93697982	93775522
chr3	93697982	93775522
chr9	129375721	129464311
chr9	129375721	129464311
chr11	44116098	44267980
chr6_qbl_hap6	4399825	4405437
chr6_mcf_hap5	4641363	4646975
chr19	1752661	1776444
chr19	11070597	11173958
chr19	19292684	19303400
chr17	71330522	71640227
chr16	1413205	1464721
chr2	217362519	217367188
chr5	40831429	40835387
chr7	100317422	100322323
chr15	27110865	27195357
chr11	636304	641705
chr11	62622483	62657355
chr11	2922511	2947476
chr17	66507519	66530570
chr1	84542744	84705181
chr8	80831094	80942506
chr6	136878186	137113656
chr3	112721291	112738555
chr7	56130916	56149365
chr3	136580049	136668968
chr1	63787729	63791797
chr19	18642567	18654383
chr4	175157809	175205402
chr7	35839595	35947715
chr2	18744136	18770846
chr1	113216094	113244368
chr10	111766710	111896323
chr19	40325092	40337054
chr19	50162825	50169132
chr20	387708	412610
chr2	220070505	220075373
chr22	50497819	50523781
chr14	74178485	74181128
chr10	89263222	89314218
chr20	30252260	30310656
chr11	76493284	76510198
chr14	94517267	94547558
chr5	135548998	135701164
chr5	3595167	3602517
chr15	25067793	25224729
chr15	70340129	70390256
chr5	140722600	140727090
chr11	47611215	47615961
chr4	140187316	140201492
chr19	17447325	17454540
chr16	27560467	27792692
chr2	177027804	177038826
chr17	78074354	78094679
chr20	18267926	18298640
chr3	14692252	14715166
chr14	96828788	96854627
chr5	71515235	71616084
chr2	190634992	190649097
chr2	97513723	97523756
chr22	31736664	31742249
chr16	3549944	3590051
chr2	74424689	74443424
chr2	85810530	85821511
chr1	155882835	155904188
chr14	64970291	65001408
chr12	122241637	122271562
chr20	3088218	3140556
chr1	42642209	42800903
chr2	112655190	112787945
chr7	99690350	99699563
