chr6	90341942	90348474	2
chr10	93808396	94050875	3
chr10	85991275	86001217	4
chr6	138743180	138893668	6
chr2	69546900	69614386	7
chr20	45186461	45280100	8
chr11	59404191	59436511	9
chr11	57319127	57335803	10
chr16	66585465	66601190	11
chr16	66585465	66601190	12
chr14	51025742	51100784	13
chr19	36911075	36914799	14
chr5	180749506	180756196	15
chrUn_gl000228	75141	78521	16
chr17	41717757	41738931	17
chr6	99321600	99395882	19
chr19	46112657	46142675	20
chr5	55032844	55113605	21
chr1	154539256	154553353	23
chr11	64125624	64140687	24
chr21	40751212	40770815	25
chr10	22604311	22610246	27
chr19	29698166	29704136	29
chr2	74688183	74692537	30
chr10	5487513	5502019	31
chr19	51107219	51109342	32
chr19	10217326	10219411	34
chr17	62222437	62224517	35
chr22	46730297	46754237	38
chr16	29972350	29985373	39
chr8	143852614	143858437	40
chr11	65421066	65430443	42
chr11	57424215	57430337	45
chr5	72142929	72211215	47
chr1	76539388	77043892	48
chr3	190230839	190370308	50
chr5	58264865	59783925	51
chr17	56282796	56296966	52
chr15	59278864	59390618	53
chr15	99511458	99551024	56
chr6	24650204	24667115	57
chr8	23385362	23431063	58
chr5	137687284	137773716	59
chr8	145132521	145136551	60
chr13	114597075	114625290	61
chr2	128698790	128784869	62
chr2	242434121	242447775	63
chr1	94994731	95007413	66
chr5	76010867	76032595	67
chr18	56886399	56899002	68
chr15	75286875	75314836	71
chr12	111798454	111806925	72
chr4	155456148	155471585	73
chr2	121102718	121110383	74
chr5	52284155	52391609	75
chr15	101844132	102030187	76
chr7	588833	752161	77
chr6	49398072	49431041	79
chr11	7109164	7113379	80
chr16	9856531	10275924	82
chr16	9847264	10276263	83
chr16	86563781	86588809	84
chr1	230201955	230418875	85
chr7	156797546	156803347	86
chr6	42895859	42908008	88
chr20	30062090	30073708	89
chr20	1245959	1290971	90
chr13	99852162	100039753	91
chr2	149893980	150072772	92
chr8	96257140	96281462	93
chr14	60711469	60766805	94
chr14	60714965	60756272	95
chr4	128981420	129044508	97
chr3	179279707	179307193	98
chr7	37959162	37992542	99
chr5	110408011	110414722	100
chr11	71790376	71808938	101
chr17	48637428	48705832	102
chr19	36601104	36605613	104
chr2	55199326	55277734	107
chr17	4735634	4802356	108
chr14	73392039	73427357	109
chr6	24356130	24359512	110
chr12	57637237	57644976	111
chr22	18120349	18214621	113
chr7	100080549	100093424	115
chr10	179423	296729	117
chr3	190984943	191048325	118
chr1	167399876	167487847	121
chr2	113125964	113191107	123
chr16	85812230	85833148	124
chr3	157260132	157297680	125
chr3	53528075	53847492	126
chr1	45316193	45452394	130
chr10	79792517	79801473	131
chr1	114935398	115053781	132
chr12	113736570	113772925	133
chr12	15260715	15374411	134
chr7	150773707	150777970	136
chr4	186506597	186877870	137
chr6_ssto_hap7	4220532	4237318	138
chr16	66541905	66583728	139
chr10	32556643	32635976	140
chr20	16252748	16554079	142
chr16	20816766	20861990	143
chrX	149530544	149683448	145
chr2	209129990	209171271	146
chr6	13573760	13616390	148
chr11	77726760	77791265	149
chr20	42935196	42939889	151
chr17	7146905	7154995	153
chr6_qbl_hap6	2173966	2188231	154
chrX	135228558	135294518	157
chrX	135228558	135294518	158
chr3	18389132	18466829	159
chr6	16299342	16761721	160
chr22	32329506	32341336	161
chr6_mcf_hap5	3086408	3111152	163
chr1	43198763	43205925	164
chr17	7093209	7120928	165
chr20	44518590	44528458	166
chr12	53844885	53875946	167
chr11	117707690	117747746	168
chr1	62659473	62679001	169
chr7	138144078	138271332	170
chr4	186506597	186578123	171
chr12	133756994	133784697	172
chr6	43736945	43755223	173
chr17	3827162	3867758	174
chr6_cox_hap2	2393182	2407162	175
chr7	150778171	150780620	176
chr18	32557207	32724432	179
chr18	32555891	32724432	180
chr11	77726760	77791265	182
chr21	19288656	19640687	183
chr21	19288656	19640687	184
chr19	50162825	50169132	185
chr19	50162825	50169132	186
chr11	43332504	43367080	191
chr19	5785152	5791249	192
chrX	46357159	46404892	193
chr7	588833	752577	194
chr7	588833	752844	195
chr7	588833	767313	196
chr7	588833	766978	197
chr7	588833	767313	198
chr16	88762902	88772800	199
chr2	47129008	47168994	200
chr22	17442826	17489112	202
chr19	44575296	44592623	203
chr9	101866411	101917473	204
chr21	18965967	18985268	205
chr13	53225830	53263433	206
chr17	49039534	49198226	207
chr10	78644634	79397577	208
chr5	72415387	72428644	209
chr1	149754244	149783928	210
chr12	109185694	109251359	211
chrX	102930425	102943086	212
chr16	30016834	30023669	218
chr8	145742348	145751559	219
chr2	220415449	220436268	220
chr1	12078298	12093106	221
chr12	44902057	45270247	223
chr10	22633373	22707539	224
chr22	40765594	40807293	225
chr6	36163549	36201567	226
chr1	185265521	185286461	228
chr15	74832547	74891472	229
chr20	61826781	61847538	230
chr19	17857526	17900377	232
chr22	19318223	19419219	233
chr10	13627938	13673868	234
chr17	37820598	37823807	235
chr2	208575263	208621896	236
chr14	24734743	24740833	237
chr9	77337410	77502636	238
chr12	56520985	56539460	239
chrX	2404454	2418580	240
chrY	2354454	2368580	241
chrX	153734489	153744566	242
chrX	153734489	153744566	243
chr9	93563206	93661842	244
chr3	93697982	93775522	246
chr3	93697982	93775522	247
chr9	129375721	129464311	248
chr9	129375721	129464311	249
chr11	44116098	44267980	250
chr6_qbl_hap6	4399825	4405437	251
chr6_mcf_hap5	4641363	4646975	252
chr19	1752661	1776444	253
chr19	11070597	11173958	255
chr19	19292684	19303400	256
