chr1	11873	29370	NR_046018
chr1	69090	70008	NM_001005484
chr1	323891	328581	NR_028322
chr1	323891	328581	NR_028327
chr1	367658	368597	NM_001005277
chr1	752750	755214	NR_103536
chr1	762970	794826	NR_015368
chr1	762970	794826	NR_047519
chr1	762970	794826	NR_047520
chr1	762970	794826	NR_047521
chr1	762970	794826	NR_047522
chr1	762970	794826	NR_047523
chr1	762970	794826	NR_047524
chr1	762970	794826	NR_047525
chr1	762970	794826	NR_047526
chr1	860800	894679	NM_152486
chr1	895966	901099	NM_198317
chr1	901876	910484	NM_001160184
chr1	901876	910484	NM_032129
chr1	948846	949919	NM_005101
chr1	955502	991499	NM_198576
chr1	1072396	1079434	NR_038869
chr1	1102483	1102578	NR_029639
chr1	1103242	1103332	NR_029834
chr1	1104384	1104467	NR_029957
chr1	1109285	1133313	NM_001130045
chr1	1109285	1133313	NM_153254
chr1	1167628	1170420	NM_080605
chr1	1215815	1227409	NM_001130413
chr1	1243993	1260067	NM_153339
chr1	1260142	1264276	NM_001029885
chr1	1266725	1269844	NM_152228
chr1	1321090	1342693	NR_015434
chr1	1361507	1363167	NM_001146685
chr1	1370902	1378262	NM_022834
chr1	1370902	1378262	NM_199121
chr1	1385068	1405538	NM_001039211
chr1	1407126	1432575	NM_031921
chr1	1447522	1470128	NM_001170535
chr1	1447522	1470128	NM_001170536
chr1	1447522	1470128	NM_018188
chr1	1550794	1565990	NM_001170686
chr1	1550794	1565990	NM_001170687
chr1	1550794	1565990	NM_001170688
chr1	1550794	1565990	NM_001170689
chr1	1550794	1565990	NM_080875
chr1	1567559	1570030	NM_006983
chr1	1571099	1655791	NR_002946
chr1	1846265	1848733	NM_138705
chr1	1950767	1962192	NM_000815
chr1	1981908	2144159	NM_001033581
chr1	1981908	2144159	NM_001033582
chr1	1981908	2144159	NM_001242874
chr1	1981908	2144159	NM_002744
chr1	2160133	2241652	NM_003036
chr1	2323213	2344010	NM_007033
chr1	2407753	2436964	NM_014638
chr1	2487207	2495267	NM_003820
chr1	2517898	2564481	NM_001195736
chr1	2517898	2564481	NM_001195737
chr1	2517898	2564481	NM_001195738
chr1	2517898	2564481	NM_001195740
chr1	2517898	2564481	NM_001195741
chr1	2517898	2564481	NM_152371
chr1	2938045	2939467	NM_080431
chr1	2985741	3355185	NM_022114
chr1	2985741	3355185	NM_199454
chr1	2985741	3355185	NR_036215
chr1	3371146	3397677	NM_014448
chr1	3541555	3546694	NM_182752
chr1	3569128	3663937	NM_001126240
chr1	3569128	3663937	NM_001126241
chr1	3569128	3663937	NM_001126242
chr1	3569128	3663937	NM_001204184
chr1	3569128	3663937	NM_001204185
chr1	3569128	3663937	NM_001204186
chr1	3569128	3663937	NM_001204187
chr1	3569128	3663937	NM_001204188
chr1	3569128	3663937	NM_001204189
chr1	3569128	3663937	NM_001204190
chr1	3569128	3663937	NM_001204191
chr1	3569128	3663937	NM_001204192
chr1	3569128	3663937	NM_005427
chr1	3668964	3688209	NM_152492
chr1	3689351	3692546	NM_001163724
chr1	3773830	3801993	NM_001282669
chr1	3773830	3801993	NM_004402
chr1	3816967	3832011	NR_024455
chr1	4000671	4012643	NR_040065
chr1	4472110	4484744	NR_027088
chr1	4715104	4843851	NM_001042478
chr1	4715104	4843851	NM_018836
chr1	5624130	5624203	NR_039612
chr1	5922869	6161253	NM_001199860
chr1	5922869	6161253	NM_001199861
chr1	5922869	6161253	NM_001199862
chr1	5922869	6161253	NM_001199863
chr1	5922869	6161253	NM_003636
