chr8	82754521	82755521	-	NM_022133	SNX16	1.45699	0.63214	1	1	no	8738
chr8	82754521	82755521	-	NM_152837	SNX16	1.45699	0.63214	1	1	no	12697
chr8	82754521	82755521	-	NM_152836	SNX16	1.45699	0.63214	1	1	no	12698
chr8	86567905	86568905	-	NR_003594	REXO1L2P	0	0	1	1	no	13020
chr8	86726072	86727072	+	NR_003594	REXO1L2P	0	0	1	1	no	13022
chr8	86747526	86748526	+	NR_003594	REXO1L2P	0	0	1	1	no	13023
chr10	73611082	73612082	-	NM_002778	PSAP	27.3323	8.50754	5e-05	0.000150478	yes	19855
chr19	1479228	1480228	-	NM_152482	C19orf25	10.6381	1.58216	5e-05	0.000150478	yes	31286
chr21	9825202	9826202	+	NR_037458	MIR3687	1.3308e+07	868520	5e-05	0.000150478	yes	34533
chr17	21903061	21904061	+	NR_027084	FLJ36000	0.0506403	0.0244889	1	1	no	35105
chr21	9824831	9825831	+	NR_037421	MIR3648	1.3308e+07	868520	5e-05	0.000150478	yes	37085
chr10	73611082	73612082	-	NM_001042466	PSAP	27.3323	8.50754	5e-05	0.000150478	yes	40192
chr10	73611082	73612082	-	NM_001042465	PSAP	27.3323	8.50754	5e-05	0.000150478	yes	40199
