chr4	49153666	49158697	14.1833
chrX	119387222	119389366	395.732
chr10	22617865	22618597	304.61
chr16	33887513	33888184	12.0213
chr20	29828177	29830731	7.18117
chr10	22615317	22615602	250.593
chr10	22615698	22615999	99.3202
chr10	22617461	22617706	149.811
chr10	39093682	39095936	5.37238
chr17	25262975	25268225	6.87679
chrY	13460346	13461661	6.20187
chrY	13864325	13865635	6.74991
chrY	13485088	13486917	4.45452
chrY	13140021	13141534	7.42566
chrY	13850104	13852310	5.49865
chr3	141161181	141164901	113.977
chrY	13467065	13470302	4.40372
chr16	33864955	33867592	7.56584
chr20	29831522	29832563	6.23069
chrY	13808187	13809295	4.99279
chr16	33898630	33902384	6.60324
chr2	39262309	39262710	113.141
chr17	61993982	61994729	112.82
chr2	39249678	39250454	133.656
chrX	61722442	61724075	2.14754
chr10	39125138	39126244	8.46418
chr7	56441025	56442473	18.981
chrY	13859226	13860576	4.64994
chr10	39106826	39111854	5.24019
chrY	13810588	13811536	4.6363
chr2	39239219	39239564	110.58
chr21	10779546	10780782	3.44749
chr2	39234119	39234417	94.4264
chr21	10838086	10839644	5.15198
chr10	39084388	39086486	6.15805
chrY	28784077	28785259	5.20259
chr7	100550379	100551330	5.72442
chr2	39224286	39224648	94.1087
chr1	142535415	142542933	7.21139
chr7	64954281	64955079	5.38735
chr2	39222354	39222606	76.2675
chr18	50319017	50319291	5.17663
chrY	13680564	13681361	4.6428
chrY	13483023	13483514	7.23205
chrY	13800623	13802382	4.19743
chr10	39086637	39088904	4.25566
chr16	33973265	33976172	6.67574
chr2	39251120	39251361	65.3721
chr16	33873620	33874653	3.32367
chr2	109815760	109816357	12.4198
chrX	61730526	61731897	5.23463
chr10	39077505	39083575	4.93559
chr21	9825460	9827549	4.4446
chrY	13855299	13856086	4.02479
chr2	39233499	39233758	63.5562
chr2	39347437	39347672	56.2927
chr20	29817012	29819010	2.71975
chr4	49317816	49320039	1.96319
chrY	13464919	13465744	3.77995
chr10	135499915	135501564	6.43623
chr10	38803657	38804912	3.31824
chrX	61839154	61839757	2.44777
chr3	75718037	75718744	22.9819
chrY	13193962	13195911	5.435
chr2	92284045	92284785	3.85709
chr2	89855341	89856132	5.20708
chr21	10826248	10828330	2.43462
chr7	56437906	56440836	17.1263
chr7	61083241	61084569	5.38859
chr10	42799245	42800677	2.61132
chr2	92272703	92274015	1.74488
chr2	39285779	39286086	54.126
chr2	39294707	39294982	53.5688
chrY	58996223	58997490	3.32727
chr17	22020541	22020923	5.57901
chr7	61079026	61081705	3.66219
chr1	143283490	143284154	3.73656
chr21	10084897	10087950	5.44531
