chr8	145653946	145654946	-	NM_183057	VPS28	9.76632	3.3075	0.0001	0.000296499	yes	10426
chr11	61158831	61159831	+	NM_001173991	TMEM216	3.80065	4.45919	0.50085	0.523827	no	11034
chr8	82754521	82755521	-	NM_152837	SNX16	1.45699	0.63214	1	1	no	12697
chr8	82754521	82755521	-	NM_152836	SNX16	1.45699	0.63214	1	1	no	12698
chr2	136875725	136876725	-	NM_003467	CXCR4	0	0.298461	1	1	no	15155
chr2	115918920	115919920	-	NR_036580	DPP10-AS1	0	0	1	1	no	15679
chr17	8648154	8649154	-	NM_001158261	CCDC42	0	0	1	1	no	16596
chr19	56153985	56154985	+	NM_016535	ZNF581	7.30136	2.40532	0.001	0.00216917	yes	16964
chr11	627173	628173	-	NM_021920	SCT	4.69663	1.98169	0.21035	0.260978	no	1797
chr16	60554	61554	+	NR_045117	DDX11L10	0	0.242827	1	1	no	19294
chr12	54673487	54674487	+	NM_002136	HNRNPA1	361.213	103.458	5e-05	0.000150478	yes	19719
chr12	54673487	54674487	+	NM_031157	HNRNPA1	361.213	103.458	5e-05	0.000150478	yes	23066
chr9	10986	11986	+	NR_051986	DDX11L5	0	0.484049	1	1	no	23073
chr11	61158831	61159831	+	NM_001173990	TMEM216	3.80065	4.45919	0.50085	0.523827	no	2313
chr1	204380944	204381944	-	NM_032833	PPP1R15B	41.1666	7.63462	5e-05	0.000150478	yes	2334
chr2	264097	265097	-	NM_001159597	SH3YL1	1.28745	1.0635	1	1	no	27614
chrX	135229736	135230736	+	NM_001159700	FHL1	13.3731	8.12159	5e-05	0.000150478	yes	32182
chr1	235291252	235292252	-	NR_002956	SNORA14B	820.659	109.231	0.01845	0.0327651	yes	33595
chr6	109804440	109805440	-	NM_014797	ZBTB24	24.6742	6.9102	5e-05	0.000150478	yes	34716
chr8	145653946	145654946	-	NM_016208	VPS28	9.76632	3.3075	0.0001	0.000296499	yes	34718
chr1	197169672	197170672	-	NM_194314	ZBTB41	1.1884	0.721947	1	1	no	35230
chr22	28315513	28316513	+	NR_036170	MIR3199-2	0	0	1	1	no	37071
chr1	10873	11873	+	NR_046018	DDX11L1	0	0.181744	1	1	no	38195
chr17	41381062	41382062	-	NR_047479	LINC00854	0.716531	0.345358	1	1	no	38589
chr21	45924926	45925926	+	NR_103707	TSPEAR-AS1	0.852282	0.186784	1	1	no	40814
chr14	69619316	69620316	-	NM_001284207	DCAF5	7.09919	5.00855	0.0009	0.00212656	yes	42457
chr22	28315202	28316202	-	NM_001284278	PITPNB	34.1205	14.7493	5e-05	0.000150478	yes	42549
chr2	115918683	115919683	+	NM_001004360	DPP10	0	0	1	1	no	43056
chr6	109804440	109805440	-	NM_001164313	ZBTB24	24.6742	6.9102	5e-05	0.000150478	yes	5193
chr17	8648154	8649154	-	NM_144681	CCDC42	0	0	1	1	no	5811
chr3	135914688	135915688	-	NM_018133	MSL2	12.4057	4.60042	5e-05	0.000150478	yes	8247
chr2	115918512	115919512	+	NM_001178034	DPP10	0	0	1	1	no	8395
chr8	82754521	82755521	-	NM_022133	SNX16	1.45699	0.63214	1	1	no	8738
chr2	264097	265097	-	NM_015677	SH3YL1	1.28745	1.0635	1	1	no	9277
