chr17	61994562	61996198	-	NM_022561	GH1	0	0	1	1	no	11787	
chr17	61994562	61996198	-	NM_022559	GH1	0	0	1	1	no	14075	
chr5	179105558	179107975	-	NM_001164444	CBY3	1.20131	1.15899	1	1	no	15607	
chr19	35615416	35626178	-	NM_139284	LGI4	0.203429	0.0327917	1	1	no	16899	
chr16	29823408	29827202	+	NM_001256443	PRRT2	1.14196	0.973511	1	1	no	18937	
chr16	29823408	29827202	+	NM_001256442	PRRT2	1.14196	0.973511	1	1	no	18938	
chr17	61994562	61996198	-	NM_000515	GH1	0	0	1	1	no	2288	
chr17	61994562	61996198	-	NM_022562	GH1	0	0	1	1	no	26828	
chr1	27189632	27190947	+	NM_006142	SFN	0.327633	1.18554	1	1	no	35975	
chr17	61994562	61996198	-	NM_022560	GH1	0	0	1	1	no	40782	
chr16	29823408	29827202	+	NM_145239	PRRT2	1.14196	0.973511	1	1	no	5082	
chr6	35465650	35480647	-	NM_003322	TULP1	0.21311	1.01226	1	1	no	9186	
