chrX	135229558	135293518	+	NM_001449	FHL1	13.3731	8.12159	5e-05	0.000150478	yes	12972	chrX	135229736	135230736	+	NM_001159700	FHL1	13.3731	8.12159	5e-05	0.000150478	yes	32182
chrX	135229558	135293518	+	NM_001159703	FHL1	13.3731	8.12159	5e-05	0.000150478	yes	157	chrX	135229736	135230736	+	NM_001159700	FHL1	13.3731	8.12159	5e-05	0.000150478	yes	32182
chrX	135229558	135293518	+	NM_001159702	FHL1	13.3731	8.12159	5e-05	0.000150478	yes	158	chrX	135229736	135230736	+	NM_001159700	FHL1	13.3731	8.12159	5e-05	0.000150478	yes	32182
chr2	115822246	116602311	+	NM_001178037	DPP10	0	0	1	1	no	19144	chr2	115918920	115919920	-	NR_036580	DPP10-AS1	0	0	1	1	no	15679
chr2	115822246	116602311	+	NM_001178037	DPP10	0	0	1	1	no	19144	chr2	115918683	115919683	+	NM_001004360	DPP10	0	0	1	1	no	43056
chr2	115822246	116602311	+	NM_001178037	DPP10	0	0	1	1	no	19144	chr2	115918512	115919512	+	NM_001178034	DPP10	0	0	1	1	no	8395
chr8	145654162	145669812	-	NM_013432	TONSL	29.9408	12.304	5e-05	0.000150478	yes	20169	chr8	145653946	145654946	-	NM_183057	VPS28	9.76632	3.3075	0.0001	0.000296499	yes	10426
chr8	145654162	145669812	-	NM_013432	TONSL	29.9408	12.304	5e-05	0.000150478	yes	20169	chr8	145653946	145654946	-	NM_016208	VPS28	9.76632	3.3075	0.0001	0.000296499	yes	34718
chr14	69517636	69619914	-	NM_003861	DCAF5	7.09919	5.00855	0.0009	0.00212656	yes	22392	chr14	69619316	69620316	-	NM_001284207	DCAF5	7.09919	5.00855	0.0009	0.00212656	yes	42457
chr1	144146810	146467744	+	NM_001278267	LOC100288142	34.2243	19.8482	5e-05	0.000150478	yes	27621	chr1	144521969	144522969	-	NR_024584	LOC728875	0	0	1	1	no	28763
chr1	144146810	146467744	+	NM_001278267	LOC100288142	34.2243	19.8482	5e-05	0.000150478	yes	27621	chr1	145515559	145516559	+	NM_001184795	PEX11B	3.22933	3.83954	0.4407	0.465162	no	29253
chr1	144146810	146467744	+	NM_001278267	LOC100288142	34.2243	19.8482	5e-05	0.000150478	yes	27621	chr1	145515164	145516164	+	NM_003846	PEX11B	3.22933	3.83954	0.4407	0.465162	no	7788
chr1	144146810	146467744	+	NM_001278267	LOC100288142	34.2243	19.8482	5e-05	0.000150478	yes	27621	chr1	145589435	145590435	-	NM_001012758	NUDT17	27.4801	15.4814	5e-05	0.000150478	yes	12379
chr21	45917774	46131495	-	NM_144991	TSPEAR	0.386887	0.209996	1	1	no	27972	chr21	45924926	45925926	+	NR_103707	TSPEAR-AS1	0.852282	0.186784	1	1	no	40814
chr2	115199898	116602326	+	NM_020868	DPP10	0	0	1	1	no	38065	chr2	115918920	115919920	-	NR_036580	DPP10-AS1	0	0	1	1	no	15679
chr2	115199898	116602326	+	NM_020868	DPP10	0	0	1	1	no	38065	chr2	115918683	115919683	+	NM_001004360	DPP10	0	0	1	1	no	43056
chr2	115199898	116602326	+	NM_020868	DPP10	0	0	1	1	no	38065	chr2	115918512	115919512	+	NM_001178034	DPP10	0	0	1	1	no	8395
chr21	45917774	46131495	-	NM_001272037	TSPEAR	0.386887	0.209996	1	1	no	38421	chr21	45924926	45925926	+	NR_103707	TSPEAR-AS1	0.852282	0.186784	1	1	no	40814
chr1	145293370	146466121	+	NM_001039703	NBPF10	34.2243	19.8482	5e-05	0.000150478	yes	40037	chr1	145515559	145516559	+	NM_001184795	PEX11B	3.22933	3.83954	0.4407	0.465162	no	29253
chr1	145293370	146466121	+	NM_001039703	NBPF10	34.2243	19.8482	5e-05	0.000150478	yes	40037	chr1	145515164	145516164	+	NM_003846	PEX11B	3.22933	3.83954	0.4407	0.465162	no	7788
chr1	145293370	146466121	+	NM_001039703	NBPF10	34.2243	19.8482	5e-05	0.000150478	yes	40037	chr1	145589435	145590435	-	NM_001012758	NUDT17	27.4801	15.4814	5e-05	0.000150478	yes	12379
chr19	3762664	3767563	+	NM_172251	MRPL54	20.4149	7.33402	0.0012	0.00246805	yes	41240	chr19	3761673	3762673	-	NM_004886	APBA3	8.26207	1.966	0.0004	0.000973473	yes	25350
chr14	69517636	69619914	-	NM_001284206	DCAF5	7.09919	5.00855	0.0009	0.00212656	yes	42421	chr14	69619316	69620316	-	NM_001284207	DCAF5	7.09919	5.00855	0.0009	0.00212656	yes	42457
chr14	69555920	69619914	-	NM_001284208	DCAF5	7.09919	5.00855	0.0009	0.00212656	yes	42458	chr14	69619316	69620316	-	NM_001284207	DCAF5	7.09919	5.00855	0.0009	0.00212656	yes	42457
chr19	56152391	56154836	+	NM_207115	ZNF580	9.85741	2.40396	5e-05	0.000150478	yes	5535	chr19	56153985	56154985	+	NM_016535	ZNF581	7.30136	2.40532	0.001	0.00216917	yes	16964
chr19	56153417	56154836	+	NM_016202	ZNF580	9.85741	2.40396	5e-05	0.000150478	yes	5956	chr19	56153985	56154985	+	NM_016535	ZNF581	7.30136	2.40532	0.001	0.00216917	yes	16964
chr2	115219179	116602326	+	NM_001178036	DPP10	0	0	1	1	no	9289	chr2	115918920	115919920	-	NR_036580	DPP10-AS1	0	0	1	1	no	15679
chr2	115219179	116602326	+	NM_001178036	DPP10	0	0	1	1	no	9289	chr2	115918683	115919683	+	NM_001004360	DPP10	0	0	1	1	no	43056
chr2	115219179	116602326	+	NM_001178036	DPP10	0	0	1	1	no	9289	chr2	115918512	115919512	+	NM_001178034	DPP10	0	0	1	1	no	8395
chr19	56153462	56154836	+	NM_001163423	ZNF580	9.85741	2.40396	5e-05	0.000150478	yes	9884	chr19	56153985	56154985	+	NM_016535	ZNF581	7.30136	2.40532	0.001	0.00216917	yes	16964
